PIN NAME,PRIMARY NAME,STM32 Pin,DETAIL,ALT. FUNCTION
A1,-12V,N/A,Negative Power Input,N/A
A2,ADC_9,PA1,GPIO,UART4_RX
A3,ADC_10,PA0,GPIO,UART4_TX
A4,GND,N/A,Ground,N/A
A5,12V,N/A,Positive Power input,N/A
A6,5V,N/A,Positive Power output,N/A
A7,GND,N/A,Power,N/A
A8,USB_DM,PB14,GPIO,USART1_TX
A9,USB_DP,PB15,GPIO,USART1_RX
A10,3V3,N/A,Power output,N/A
B1,AUDIO_OUT_RIGHT,N/A,DC Coupled Audio,N/A
B2,AUDIO_OUT_LEFT,N/A,DC Coupled Audio,N/A
B3,AUDIO_IN_RIGHT,N/A,AC Coupled Audio,N/A
B4,AUDIO_IN_LEFT,N/A,AC Coupled Audio,N/A
B5,GATE_OUT_1,PC14,Output Only,N/A
B6,GATE_OUT_2,PC13,Output Only,N/A
B7,I2C1_SCL,PB8,GPIO,"UART4_RX, PWM (TIM4_CH3)"
B8,I2C1_SDA,PB9,GPIO,"UART4_TX, PWM (TIM4_CH4)"
B9,GATE_IN_2,PG14,Input Only,N/A
B10,GATE_IN_1,PG13,Input Only,N/A
C1,CV_OUT_2,PA5,Output Only,N/A
C2,CV_4,PA7,Input Only,N/A
C3,CV_3,PA2,Input Only,N/A
C4,CV_2,PA6,Input Only,N/A
C5,CV_1,PA3,Input Only,N/A
C6,CV_5,PB1,Input Only,N/A
C7,CV_6,PC4,Input Only,N/A
C8,CV_7,PC0,Input Only,N/A
C9,CV_8,PC1,Input Only,N/A
C10,CV_OUT_1,PA4,Output Only,N/A
D1,SPI2_CS,PB4,GPIO,N/A
D2,SDMMC1_D3,PC11,GPIO,USART3_RX*
D3,SDMMC1_D2,PC10,GPIO,USART3_TX*
D4,SDMMC1_D1,PC9,GPIO,N/A
D5,SDMMC1_D0,PC8,GPIO,N/A
D6,SDMMC1_CLK,PC12,GPIO,UART5_TX*
D7,SDMMC1_CMD,PD2,GPIO,UART5_RX*
D8,ADC_12,PC2,GPIO,SPI2_MISO
D9,ADC_11,PC3,GPIO,SPI2_MOSI
D10,SPI2_SCK,PD3,GPIO,N/A
